iter	Passed	Remaining
0	0	133
1	1	125
2	2	119
3	3	116
4	3	112
5	4	109
6	5	108
7	5	106
8	6	104
9	7	103
10	8	102
11	8	101
12	9	99
13	10	98
14	10	97
15	11	97
16	12	96
17	13	95
18	13	94
19	14	93
20	15	93
21	15	92
22	16	91
23	17	90
24	18	90
25	18	89
26	19	88
27	20	87
28	20	87
29	21	86
30	22	85
31	23	84
32	23	84
33	24	83
34	25	82
35	25	81
36	26	81
37	27	80
38	28	79
39	28	79
40	29	78
41	30	77
42	30	76
43	31	76
44	32	75
45	33	74
46	33	74
47	34	73
48	35	72
49	35	71
50	36	71
51	37	70
52	38	69
53	38	68
54	39	68
55	40	67
56	40	66
57	41	65
58	42	65
59	42	64
60	43	63
61	44	63
62	45	62
63	46	61
64	46	61
65	47	60
66	48	59
67	49	59
68	49	58
69	50	57
70	51	57
71	51	56
72	52	55
73	53	54
74	54	54
75	54	53
76	55	52
77	56	51
78	56	51
79	57	50
80	58	49
81	59	48
82	59	48
83	60	47
84	61	46
85	62	46
86	62	45
87	63	44
88	64	43
89	64	43
90	65	42
91	66	41
92	66	41
93	67	40
94	68	39
95	69	38
96	69	38
97	70	37
98	71	36
99	71	35
100	72	35
101	73	34
102	74	33
103	74	33
104	75	32
105	76	31
106	77	30
107	77	30
108	78	29
109	79	28
110	79	28
111	80	27
112	81	26
113	81	25
114	82	25
115	83	24
116	84	23
117	84	23
118	85	22
119	86	21
120	86	20
121	87	20
122	88	19
123	89	18
124	89	17
125	90	17
126	91	16
127	92	15
128	92	15
129	93	14
130	94	13
131	94	12
132	95	12
133	96	11
134	96	10
135	97	10
136	98	9
137	99	8
138	99	7
139	100	7
140	101	6
141	101	5
142	102	5
143	103	4
144	104	3
145	104	2
146	105	2
147	106	1
148	106	0
149	107	0
